ID,Hotel_Name,Hotel_Address,Phone_Number,Company,Room_Number,Booking_Amount,Occupancy_Status,Booking_Date,Guest_Rating,Competitor_Price,Revenue
53,Reese-Pennington,"02599 Brown Pine Suite 656
North Ryanberg, FL 04580",630-446-1545,"Pratt, Lopez and Summers","{{random_int:1,100}}",604,True,2024-05-30,5,615,604
54,Martin Group,"2519 Moses Trace Apt. 491
Port Yolandaberg, AZ 68688",518.323.6397,Moore-Le,"{{random_int:1,100}}",966,True,2023-10-16,2,271,966
55,Clayton-Terrell,"54501 Kelly Crescent
Lake Joshua, NY 73203",(716)886-1197x524,Fuller Ltd,"{{random_int:1,100}}",765,True,2020-06-29,1,905,765
56,Little LLC,"8403 Jordan Centers Suite 649
West Stephanie, ND 64660",165.280.3760x314,Summers and Sons,"{{random_int:1,100}}",498,True,2021-08-06,5,473,498
57,Rose Group,"7028 Harris Drive Apt. 422
Amyburgh, VA 55206",001-238-292-3840x730,Jackson-Wagner,"{{random_int:1,100}}",267,True,2020-02-20,5,555,267
58,Martinez Inc,"36746 Stanley Green
Port Ericbury, IL 06444",001-081-737-2984x09255,Gallegos-Evans,"{{random_int:1,100}}",707,False,2020-06-17,2,73,707
59,Roman-Mcconnell,"7472 Cardenas Valleys Suite 596
Rileyhaven, TX 99741",001-336-348-2829,"Sherman, Schmidt and Pruitt","{{random_int:1,100}}",906,False,2024-09-28,3,315,906
60,Turner-Escobar,"7103 Melissa Underpass
Port Morganburgh, HI 87177",(940)009-2436x755,Perkins Inc,"{{random_int:1,100}}",766,True,2022-06-30,1,658,766
61,"Nelson, Rodgers and Harrell","27299 Willis Wall Apt. 006
Lake Deborahberg, CO 55462",593-052-5477x9541,Brock-Moore,"{{random_int:1,100}}",160,False,2024-05-14,5,781,160
62,Franklin-Fisher,"19127 Parks Courts Suite 441
Williamside, CA 01559",9021667052,Warner Ltd,"{{random_int:1,100}}",643,False,2021-05-07,1,264,643
63,Melendez-Orr,"84668 Julia Mission Apt. 823
Port Christopher, LA 35611",360-081-0422x821,Smith-Hoover,"{{random_int:1,100}}",907,True,2020-03-07,5,819,907
64,Miller and Sons,"778 Christopher Mill Suite 687
Stonebury, SD 52878",521.220.6911x84945,"Booth, Woods and Vargas","{{random_int:1,100}}",376,False,2022-05-06,4,574,376
65,Hall-Shaw,"8039 Thomas Land Suite 938
New Williamton, MI 05710",(254)776-0375x207,"Barrett, Hebert and Whitaker","{{random_int:1,100}}",762,True,2021-06-10,4,268,762
66,Mann PLC,"759 Good Port
New Russell, MN 50437",334-389-5739x5925,Thomas LLC,"{{random_int:1,100}}",613,True,2021-11-27,5,167,613
67,Castillo-Holt,"187 Kelly Groves
West Megan, VA 03219",3392871484,"Tucker, Cervantes and Allison","{{random_int:1,100}}",810,False,2021-02-07,1,934,810
68,Stafford LLC,"Unit 4987 Box 4867
DPO AA 29387",+1-111-809-8591x93001,"Collins, Cabrera and Berg","{{random_int:1,100}}",776,True,2021-08-19,5,593,776
69,Ramirez and Sons,"PSC 9322, Box 3474
APO AE 96763",+1-431-262-3905x872,"Nelson, Roach and Lyons","{{random_int:1,100}}",922,False,2024-01-24,5,804,922
70,Smith and Sons,"2278 Wesley Forges
South Leslie, NV 30836",+1-431-574-5894x3486,Thompson Inc,"{{random_int:1,100}}",654,False,2020-11-09,5,922,654
71,Baldwin Group,"832 Joseph Islands Suite 805
Fitzgeraldfurt, DC 93541",001-892-049-7896x373,Fritz-Davis,"{{random_int:1,100}}",461,True,2022-03-27,4,817,461
72,"Jackson, Harris and Allen","83833 Davis Walks Apt. 829
New Barbara, RI 57076",+1-647-905-5303x738,"Lewis, Smith and Young","{{random_int:1,100}}",533,True,2024-08-23,3,905,533
73,"Roberts, Murphy and Le","191 Wood Road Apt. 326
Port Andrew, FL 68291",+1-521-855-1533x4866,Johnson-Alexander,"{{random_int:1,100}}",344,False,2023-09-05,5,242,344
74,"Burns, Moore and Hernandez","312 Scott Vista Suite 204
Berrystad, CT 13739",380.091.7494x8623,"Martinez, Carson and Vaughan","{{random_int:1,100}}",848,False,2022-05-29,4,715,848
75,"Sanchez, Perez and Mann","299 Carlos Harbors
West Cindyshire, KS 76302",(012)705-5466x04331,"Le, Wright and Mills","{{random_int:1,100}}",513,True,2025-01-01,3,480,513
76,"Stone, Krause and Page","41743 Berger Inlet Apt. 527
South Tammymouth, SC 37901",967.998.3204x16437,Baker-Powell,"{{random_int:1,100}}",673,False,2021-05-02,2,760,673
77,Clark LLC,"064 Howell Fields
Robertberg, DE 33264",(772)566-6591x187,Davis PLC,"{{random_int:1,100}}",929,False,2023-05-19,4,293,929
78,Walsh-Davis,"244 Angela Springs Suite 020
West Karenmouth, ID 32320",(974)827-6010x153,Gardner-Mason,"{{random_int:1,100}}",358,True,2024-01-23,5,681,358
79,Yang-Sanchez,"2274 Scott Village
New Nicholasville, ME 11362",+1-634-637-9885x2609,Waller-Morrison,"{{random_int:1,100}}",340,True,2023-11-20,3,534,340
80,"Farrell, Mclaughlin and Gilmore","4223 Morris Brooks Suite 794
North Tina, VA 68338",(369)582-0767,Richardson-Gonzalez,"{{random_int:1,100}}",258,True,2020-06-05,2,725,258
81,Ball Ltd,"431 Johnson Neck Suite 039
Mariechester, VT 67849",001-410-156-6634x768,Burton Ltd,"{{random_int:1,100}}",345,False,2022-11-09,2,458,345
82,"Summers, Hardin and Foster","PSC 9947, Box 8546
APO AP 85213",001-250-677-4135x36095,White Group,"{{random_int:1,100}}",948,True,2022-03-29,2,668,948
83,Perez and Sons,"624 Alexander Place Apt. 272
Lake Darrylport, ME 40059",(094)571-0437x4836,Coleman Inc,"{{random_int:1,100}}",863,True,2023-08-25,1,351,863
84,Brown-Johnson,"1920 Laura Club
New Kimberlyville, CT 64363",(117)782-8125x68218,Cross PLC,"{{random_int:1,100}}",304,True,2020-10-19,3,591,304
85,Hoffman-Armstrong,"91296 Moss Knoll Suite 000
West Joy, IL 86023",(217)724-4202,"Bell, Burgess and Gonzalez","{{random_int:1,100}}",697,True,2020-10-03,4,198,697
86,"King, Lopez and Wilson","6146 Johnson Isle
South Arthur, MT 70897",240-415-6043x245,"Walters, Jackson and Gonzalez","{{random_int:1,100}}",630,False,2022-08-02,1,467,630
87,Li-Gregory,"252 Young Plaza
North Dawn, ID 59992",+1-799-555-1065,Castillo and Sons,"{{random_int:1,100}}",789,False,2024-07-04,4,832,789
88,"Smith, Melton and Lopez","2266 Wilcox Street Apt. 412
West Rhondaburgh, FL 33307",(648)658-6771,Jacobs-Scott,"{{random_int:1,100}}",789,True,2024-02-13,5,576,789
89,Porter Ltd,"4600 Peters Union
Jennifertown, NM 89462",(858)787-8792x9095,Parker Inc,"{{random_int:1,100}}",274,True,2022-12-22,5,514,274
90,"Anderson, Villa and Stewart","4758 Kimberly Lake
Phillipside, PA 13109",282-215-3007x7198,Taylor Group,"{{random_int:1,100}}",626,True,2023-05-21,3,132,626
91,Kelly-Anderson,"51191 Sandoval Prairie Suite 207
Sullivanborough, MT 35472",676.263.6341x2755,Marsh-Cole,"{{random_int:1,100}}",301,True,2024-09-14,2,771,301
92,Pratt-Crawford,"521 Martin Knolls Apt. 165
Kyletown, TN 85643",228-273-1841x0616,Washington-Taylor,"{{random_int:1,100}}",194,True,2024-11-03,2,697,194
93,Conley PLC,"99134 Barrera Pines Suite 452
Greenburgh, GA 95447",385-715-8647,Taylor and Sons,"{{random_int:1,100}}",561,True,2024-12-16,1,178,561
94,Hamilton-Ward,"33985 Dalton Radial Suite 844
New Gabrielleburgh, ID 66100",+1-147-210-7888,"Hart, Mclaughlin and Bennett","{{random_int:1,100}}",479,True,2024-12-19,3,282,479
95,Braun-Thomas,"720 Anna Brook
Port Monica, MD 41373",+1-310-325-6895x63609,"Walker, Smith and Griffin","{{random_int:1,100}}",61,False,2020-09-14,2,114,61
96,"Fields, Velazquez and Snow","7586 Rivera Grove Suite 785
Lambertfurt, WV 37242",001-037-466-2273x293,Booth LLC,"{{random_int:1,100}}",564,False,2020-05-12,5,925,564
97,Stanley Inc,"2108 Jacqueline Course
New Derrickshire, SD 47569",(116)725-9839x399,Morrison-Davis,"{{random_int:1,100}}",478,True,2022-09-22,2,232,478
98,"Baker, Sparks and Nguyen","116 Bryan Junctions Suite 356
West Cameronfort, IA 50782",001-055-218-4709x228,"Morgan, Manning and Kirk","{{random_int:1,100}}",759,True,2020-07-29,3,529,759
99,Johnson-Trevino,"24549 Tracy Mills Apt. 952
Aguirreport, HI 76211",(168)782-6528,Bird-Jackson,"{{random_int:1,100}}",134,True,2022-07-28,1,257,134
100,Fritz-Robbins,"65459 Ramos Path
West Morganchester, IN 99716",001-708-965-3954x2243,Gomez Group,"{{random_int:1,100}}",208,True,2022-06-28,5,897,208
101,Grimes Inc,"66119 Amanda Forge
Juliaside, PA 13363",001-229-990-7438x07100,"Lopez, Vasquez and Barrett","{{random_int:1,100}}",583,True,2024-11-13,5,139,583
102,Watson PLC,"548 Beverly Bridge
Gomezmouth, WI 45848",492-500-9606,Nicholson PLC,"{{random_int:1,100}}",526,True,2020-01-31,2,756,526
103,"Gibson, Jones and Frank","66923 Anthony Canyon
Sullivanport, MS 03948",+1-568-385-9306x78035,Luna-Bradley,"{{random_int:1,100}}",267,True,2024-08-20,1,350,267
104,Rivera-Torres,"0619 Martin Light Apt. 662
Stephensonstad, AZ 84823",+1-833-867-3918x122,Johnson-Wilson,"{{random_int:1,100}}",684,False,2024-08-10,5,858,684
105,Payne LLC,"08379 Chan Wall Apt. 394
West Elizabeth, KY 64998",(404)154-3533x336,Nichols LLC,"{{random_int:1,100}}",730,True,2021-08-15,4,77,730
106,"Caldwell, Nichols and Cohen","411 Craig Knoll
East Lauren, VA 97386",001-427-438-9317x35645,Conner and Sons,"{{random_int:1,100}}",524,False,2022-04-26,5,182,524
107,Peck Group,"9472 Williams Spurs Apt. 792
Port Danielfurt, LA 82522",694-809-0668,Perez-Rowe,"{{random_int:1,100}}",216,False,2020-04-14,1,169,216
108,"Jacobs, Phillips and Washington","925 Kathleen Ways
West Edwardhaven, PA 32990",817-897-4591,Williams Group,"{{random_int:1,100}}",315,False,2023-05-24,2,652,315
109,Green-Patton,"2017 Mcneil Isle
Scottmouth, MD 84141",555.630.6984,Leon-Johnson,"{{random_int:1,100}}",925,True,2024-01-02,1,494,925
110,Davis and Sons,"53913 Stewart Roads Suite 017
Cynthiafurt, GA 95564",020.290.1503x374,Knight-Brooks,"{{random_int:1,100}}",720,False,2022-01-28,4,998,720
111,"Wagner, Cameron and Williams","12109 Brittany Stream
Chavezmouth, AL 96971",+1-858-329-4846x980,Duncan-Wright,"{{random_int:1,100}}",452,True,2023-05-17,3,805,452
112,Nicholson PLC,"847 Garcia Radial Suite 516
Juliaville, VT 43634",001-183-900-0471,"Wade, Smith and Yang","{{random_int:1,100}}",330,False,2020-01-13,3,255,330
113,"Morales, Griffin and Woods","51267 Cervantes Harbors Apt. 287
Greenville, TX 23107",+1-045-550-6524,Williams-Gordon,"{{random_int:1,100}}",376,True,2023-06-25,3,126,376
114,Calderon-Stokes,"9447 Sean Gardens
Tammyville, SD 06748",(769)050-0743x2716,"Brown, Garcia and Brown","{{random_int:1,100}}",313,False,2020-02-14,5,341,313
115,Cook PLC,"08378 Erika Light Suite 083
New Johnside, FL 94262",978.762.7420,Mckay-Phillips,"{{random_int:1,100}}",918,False,2023-12-11,3,284,918
116,Smith-Garrison,"95920 Laura Estates
North Donald, HI 53906",(054)590-3905x5519,"Jennings, Diaz and Ortiz","{{random_int:1,100}}",419,False,2020-11-08,2,267,419
117,"Lopez, Taylor and Carson","9989 Christina Knolls
Taylormouth, MO 55366",(152)425-7155x452,Rasmussen-Gonzalez,"{{random_int:1,100}}",646,False,2020-09-05,4,724,646
118,"Warner, Cannon and Diaz","106 Weber Flats Suite 093
Mendezfort, NM 79132",(660)422-5189x72963,"Martinez, Smith and Conway","{{random_int:1,100}}",857,False,2020-03-29,4,935,857
119,Romero-Robinson,"2435 Michelle Road
Chungbury, AL 29425",+1-624-983-2697x579,"Marsh, Johnson and Greene","{{random_int:1,100}}",723,False,2021-05-18,3,866,723
120,Roberts Group,"3277 Jillian Village
Harrisport, NE 14099",422-342-2539x9201,Bolton LLC,"{{random_int:1,100}}",638,True,2020-12-10,2,112,638
121,Berry-Houston,"9884 Susan Point Apt. 056
Nortonshire, IN 16140",(619)485-2002x65055,"Vargas, Calhoun and Anthony","{{random_int:1,100}}",656,False,2023-07-24,1,157,656
122,"Spencer, Clark and Day","05369 Robert Junction
North Sarahberg, IA 86650",001-236-633-0846x3819,Rosales-Walters,"{{random_int:1,100}}",390,True,2022-12-27,2,560,390
123,"Lewis, Williams and Whitehead","101 Rivera Road Suite 134
North Peterberg, MD 29990",(320)907-7883,Melton-Robinson,"{{random_int:1,100}}",885,True,2020-01-26,2,783,885
124,Garcia-Hayes,"USCGC Green
FPO AA 25485",293.965.6462x298,Rodriguez-Young,"{{random_int:1,100}}",975,True,2024-11-23,3,57,975
125,Griffin-Costa,"49505 Ronald Street Apt. 980
North Richardport, MA 84876",8616405005,"Brock, Hubbard and Wilson","{{random_int:1,100}}",756,False,2022-11-23,5,695,756
126,Flowers PLC,"1121 Angela Fort Suite 946
North Alexa, CA 30452",(671)331-2676,Franklin-Lee,"{{random_int:1,100}}",87,False,2020-04-12,2,767,87
127,Harmon-Lamb,"9779 Rivera Route Apt. 148
West Sandy, ME 31949",644.655.3144x31368,Stewart Group,"{{random_int:1,100}}",862,False,2022-02-05,3,585,862
128,Long-Jones,"USCGC Frazier
FPO AE 84224",844-066-3092,Perry LLC,"{{random_int:1,100}}",966,False,2020-03-01,1,323,966
129,Stanley-Armstrong,"29832 Coleman Parkways
Sarahfort, SC 10289",293-320-0744x806,Aguirre-Waller,"{{random_int:1,100}}",717,True,2020-10-28,2,719,717
130,Boyd LLC,"78346 Ryan Mission Suite 231
New Jeffside, MD 36844",905.419.9217,Woods LLC,"{{random_int:1,100}}",495,True,2022-12-24,5,230,495
131,Jordan Ltd,"PSC 3498, Box 9003
APO AE 75516",001-547-944-8552x17811,Martin Group,"{{random_int:1,100}}",272,False,2020-08-05,3,691,272
132,King-Baxter,"619 Stevens Cliffs
Lake Stanleyberg, WA 24698",(805)644-2197x85938,"Flynn, Hopkins and Williams","{{random_int:1,100}}",275,False,2024-02-14,5,468,275
133,Spencer Inc,"340 Neal Haven Suite 203
Marissamouth, AL 06027",(680)215-6346x85921,Lewis-Williams,"{{random_int:1,100}}",452,False,2024-07-31,3,387,452
134,Gordon and Sons,"3342 Shannon Cape
East Randychester, WV 04117",(944)093-4761,"Nunez, Norris and Davis","{{random_int:1,100}}",518,True,2020-09-06,5,645,518
135,Norton LLC,"4101 Savage Park
South Lorraine, VA 53629",722.087.1652x19957,"Lee, Burns and Pope","{{random_int:1,100}}",102,True,2022-12-03,3,601,102
136,Richard-Graham,"717 Griffith Spur
Sharonland, ME 28099",001-675-727-5149x39284,"Miller, Blair and Salas","{{random_int:1,100}}",648,False,2021-11-10,4,875,648
137,"Webb, White and Petersen","4600 John Trail Apt. 067
North Joseph, HI 62647",+1-010-427-2333x800,Freeman-Hernandez,"{{random_int:1,100}}",123,True,2023-08-11,5,99,123
138,Walsh Group,"74182 Mitchell Island Apt. 899
New Zachary, NC 32999",(251)146-6848,Rodriguez Group,"{{random_int:1,100}}",173,True,2024-02-07,4,622,173
139,Cunningham Ltd,"00003 Rodriguez Street Apt. 447
Port Danielbury, KY 77963",+1-128-155-4501x645,Parrish-Smith,"{{random_int:1,100}}",551,True,2021-09-27,2,127,551
140,Reed-Guerrero,"148 Brown Knolls
South Brittany, NH 66733",735-955-9906,"Daniel, Stewart and Henderson","{{random_int:1,100}}",294,True,2024-04-17,4,447,294
141,"Hansen, Campbell and Weiss","63230 Morton Lane
Port Daleside, AZ 48324",(257)654-4562,Byrd-Alvarado,"{{random_int:1,100}}",192,False,2024-11-27,3,374,192
142,Johnson Ltd,"3145 Clifford Mill Apt. 077
East Charlesborough, SD 78925",550.440.5905,Jenkins Ltd,"{{random_int:1,100}}",732,False,2021-03-07,2,725,732
143,Alvarez-Herrera,"0177 Stephanie Pine
Lake Danielfurt, MT 17204",994.960.8093x2927,Chavez Inc,"{{random_int:1,100}}",567,False,2022-10-19,5,531,567
144,Price-Roberson,"9981 Barbara Run Apt. 777
Rogerton, VA 97022",673-990-8395x32488,"White, Harrell and Dean","{{random_int:1,100}}",158,False,2023-03-17,4,272,158
145,Jensen LLC,"687 Joseph Knolls
Rachaelfurt, WV 54435",+1-403-753-1506x63963,"Soto, Dennis and Schneider","{{random_int:1,100}}",479,True,2022-02-01,1,262,479
146,"Evans, Lewis and Huynh","654 John Pike
Smithberg, SD 81940",047-438-8254,Lopez LLC,"{{random_int:1,100}}",463,False,2022-11-03,3,511,463
147,Rosales-Thompson,"6705 Cooper Causeway Suite 757
North Marieside, SD 39251",+1-657-157-6806x850,Schroeder-Johnson,"{{random_int:1,100}}",656,False,2021-05-02,5,485,656
148,Cohen Inc,"Unit 8839 Box 8318
DPO AA 15966",+1-045-507-2890,"Pearson, Mcbride and Lynch","{{random_int:1,100}}",306,False,2020-04-30,5,802,306
149,"Sexton, Walker and Martin","PSC 3733, Box 4539
APO AP 43223",(163)399-3627,"Turner, Miller and Manning","{{random_int:1,100}}",835,False,2020-07-27,2,79,835
150,Bailey Group,"4385 Rebecca Islands Suite 518
New Thomas, OR 50918",548.221.2140x38568,Sampson-Yang,"{{random_int:1,100}}",765,False,2022-07-18,5,794,765
151,Johnson-Harris,"6988 Daniel Common
Robertport, IL 65162",299.488.7510x557,Patel Inc,"{{random_int:1,100}}",114,False,2023-02-08,4,720,114
152,Fields-Hernandez,"270 Lindsey Knoll
Ronaldbury, MT 97832",998.199.9740x5871,"Fuentes, Walls and Castro","{{random_int:1,100}}",356,True,2021-06-11,3,92,356
153,"Hines, Gibbs and Bates","65805 Bradley Mission Apt. 769
Russellfort, GA 63444",3070212831,"Martinez, Patterson and Rice","{{random_int:1,100}}",71,True,2024-12-02,2,171,71
154,Atkins-Palmer,"11381 Tara Stravenue Apt. 910
West Sharon, NC 19659",499-935-4272x5332,"Oliver, Long and Gray","{{random_int:1,100}}",653,True,2020-08-27,1,338,653
155,Carson Group,"1309 Gray Shores
Clarkland, MI 64945",(590)019-9773x78043,Frederick LLC,"{{random_int:1,100}}",858,False,2020-12-15,3,820,858
